date,id_cd,cd_name,id_borough,borough,polluting_agent,data_value
2011-12-01,110,Central Harlem (CD10),1,manhattan,SO2 (ppb),4.44
2011-12-01,111,East Harlem (CD11),1,manhattan,SO2 (ppb),3.67
2011-12-01,112,Washington Heights and Inwood (CD12),1,manhattan,SO2 (ppb),6.32
2011-12-01,201,Mott Haven and Melrose (CD1),4,the_bronx,SO2 (ppb),2.95
2011-12-01,202,Hunts Point and Longwood (CD2),4,the_bronx,SO2 (ppb),2.55
2011-12-01,203,Morrisania and Crotona (CD3),4,the_bronx,SO2 (ppb),3.63
2011-12-01,204,Highbridge and Concourse (CD4),4,the_bronx,SO2 (ppb),5.53
2011-12-01,205,Fordham and University Heights (CD5),4,the_bronx,SO2 (ppb),6.79
2011-12-01,206,Belmont and East Tremont (CD6),4,the_bronx,SO2 (ppb),4.25
2011-12-01,207,Kingsbridge Heights and Bedford (CD7),4,the_bronx,SO2 (ppb),6.31
2011-12-01,208,Riverdale and Fieldston (CD8),4,the_bronx,SO2 (ppb),3.77
2011-12-01,209,Parkchester and Soundview (CD9),4,the_bronx,SO2 (ppb),2.87
2011-12-01,210,Throgs Neck and Co-op City (CD10),4,the_bronx,SO2 (ppb),2.12
2011-12-01,211,Morris Park and Bronxdale (CD11),4,the_bronx,SO2 (ppb),2.97
2011-12-01,212,Williamsbridge and Baychester (CD12),4,the_bronx,SO2 (ppb),3.03
2011-12-01,301,Greenpoint and Williamsburg (CD1),2,brooklyn,SO2 (ppb),1.96
2011-12-01,302,Fort Greene and Brooklyn Heights (CD2),2,brooklyn,SO2 (ppb),1.92
2011-12-01,303,Bedford Stuyvesant (CD3),2,brooklyn,SO2 (ppb),1.99
2011-12-01,304,Bushwick (CD4),2,brooklyn,SO2 (ppb),1.99
2011-12-01,305,East New York and Starrett City (CD5),2,brooklyn,SO2 (ppb),1.52
2011-12-01,306,Park Slope and Carroll Gardens (CD6),2,brooklyn,SO2 (ppb),1.65
2011-12-01,307,Sunset Park (CD7),2,brooklyn,SO2 (ppb),1.5
2011-12-01,308,Crown Heights and Prospect Heights (CD8),2,brooklyn,SO2 (ppb),1.96
2011-12-01,309,South Crown Heights and Lefferts Gardens (CD9),2,brooklyn,SO2 (ppb),1.99
2011-12-01,310,Bay Ridge and Dyker Heights (CD10),2,brooklyn,SO2 (ppb),1.3
2011-12-01,311,Bensonhurst (CD11),2,brooklyn,SO2 (ppb),1.33
2011-12-01,312,Borough Park (CD12),2,brooklyn,SO2 (ppb),1.67
2011-12-01,313,Coney Island (CD13),2,brooklyn,SO2 (ppb),1.03
2011-12-01,314,Flatbush and Midwood (CD14),2,brooklyn,SO2 (ppb),1.78
2011-12-01,315,Sheepshead Bay (CD15),2,brooklyn,SO2 (ppb),1.18
2011-12-01,316,Brownsville (CD16),2,brooklyn,SO2 (ppb),1.73
2011-12-01,317,East Flatbush (CD17),2,brooklyn,SO2 (ppb),1.7
2011-12-01,318,Flatlands and Canarsie (CD18),2,brooklyn,SO2 (ppb),1.21
2011-12-01,401,Long Island City and Astoria (CD1),3,queens,SO2 (ppb),2.46
2011-12-01,402,Woodside and Sunnyside (CD2),3,queens,SO2 (ppb),2.26
2011-12-01,403,Jackson Heights (CD3),3,queens,SO2 (ppb),2.78
2011-12-01,404,Elmhurst and Corona (CD4),3,queens,SO2 (ppb),2.8
2011-12-01,405,Ridgewood and Maspeth (CD5),3,queens,SO2 (ppb),1.75
2011-12-01,406,Rego Park and Forest Hills (CD6),3,queens,SO2 (ppb),2.28
2011-12-01,407,Flushing and Whitestone (CD7),3,queens,SO2 (ppb),1.98
2011-12-01,408,Hillcrest and Fresh Meadows (CD8),3,queens,SO2 (ppb),1.68
2011-12-01,409,Kew Gardens and Woodhaven (CD9),3,queens,SO2 (ppb),1.75
2011-12-01,410,South Ozone Park and Howard Beach (CD10),3,queens,SO2 (ppb),1.36
2011-12-01,411,Bayside and Little Neck (CD11),3,queens,SO2 (ppb),1.58
2011-12-01,412,Jamaica and Hollis (CD12),3,queens,SO2 (ppb),1.41
2011-12-01,413,Queens Village (CD13),3,queens,SO2 (ppb),1.28
2011-12-01,414,Rockaway and Broad Channel (CD14),3,queens,SO2 (ppb),0.87
2011-12-01,501,St. George and Stapleton (CD1),5,staten_island,SO2 (ppb),1.04
2011-12-01,502,South Beach and Willowbrook (CD2),5,staten_island,SO2 (ppb),0.84
2011-12-01,503,Tottenville and Great Kills (CD3),5,staten_island,SO2 (ppb),0.64
2012-12-01,101,Financial District (CD1),1,manhattan,SO2 (ppb),1.16
2012-12-01,102,Greenwich Village and Soho (CD2),1,manhattan,SO2 (ppb),2.35
2012-12-01,103,Lower East Side and Chinatown (CD3),1,manhattan,SO2 (ppb),1.82
2012-12-01,104,Clinton and Chelsea (CD4),1,manhattan,SO2 (ppb),2.27
2012-12-01,105,Midtown (CD5),1,manhattan,SO2 (ppb),3.16
2012-12-01,106,Stuyvesant Town and Turtle Bay (CD6),1,manhattan,SO2 (ppb),2.82
2012-12-01,107,Upper West Side (CD7),1,manhattan,SO2 (ppb),3.95
2012-12-01,108,Upper East Side (CD8),1,manhattan,SO2 (ppb),4.13
2012-12-01,109,Morningside Heights and Hamilton Heights (CD9),1,manhattan,SO2 (ppb),3.52
2012-12-01,110,Central Harlem (CD10),1,manhattan,SO2 (ppb),3.11
2012-12-01,111,East Harlem (CD11),1,manhattan,SO2 (ppb),2.55
2012-12-01,112,Washington Heights and Inwood (CD12),1,manhattan,SO2 (ppb),4.34
2012-12-01,201,Mott Haven and Melrose (CD1),4,the_bronx,SO2 (ppb),2.06
2012-12-01,202,Hunts Point and Longwood (CD2),4,the_bronx,SO2 (ppb),1.74
2012-12-01,203,Morrisania and Crotona (CD3),4,the_bronx,SO2 (ppb),2.44
2012-12-01,204,Highbridge and Concourse (CD4),4,the_bronx,SO2 (ppb),3.9
2012-12-01,205,Fordham and University Heights (CD5),4,the_bronx,SO2 (ppb),4.54
2012-12-01,206,Belmont and East Tremont (CD6),4,the_bronx,SO2 (ppb),2.77
2012-12-01,207,Kingsbridge Heights and Bedford (CD7),4,the_bronx,SO2 (ppb),3.99
2012-12-01,208,Riverdale and Fieldston (CD8),4,the_bronx,SO2 (ppb),2.26
2012-12-01,209,Parkchester and Soundview (CD9),4,the_bronx,SO2 (ppb),1.85
2012-12-01,210,Throgs Neck and Co-op City (CD10),4,the_bronx,SO2 (ppb),1.22
2012-12-01,211,Morris Park and Bronxdale (CD11),4,the_bronx,SO2 (ppb),1.79
2012-12-01,212,Williamsbridge and Baychester (CD12),4,the_bronx,SO2 (ppb),1.68
2012-12-01,301,Greenpoint and Williamsburg (CD1),2,brooklyn,SO2 (ppb),1.18
2012-12-01,302,Fort Greene and Brooklyn Heights (CD2),2,brooklyn,SO2 (ppb),0.99
2012-12-01,303,Bedford Stuyvesant (CD3),2,brooklyn,SO2 (ppb),1.17
2012-12-01,304,Bushwick (CD4),2,brooklyn,SO2 (ppb),1.25
2012-12-01,305,East New York and Starrett City (CD5),2,brooklyn,SO2 (ppb),0.98
2012-12-01,306,Park Slope and Carroll Gardens (CD6),2,brooklyn,SO2 (ppb),0.83
2012-12-01,307,Sunset Park (CD7),2,brooklyn,SO2 (ppb),0.77
2012-12-01,308,Crown Heights and Prospect Heights (CD8),2,brooklyn,SO2 (ppb),1.12
2012-12-01,309,South Crown Heights and Lefferts Gardens (CD9),2,brooklyn,SO2 (ppb),1.12
2012-12-01,310,Bay Ridge and Dyker Heights (CD10),2,brooklyn,SO2 (ppb),0.67
2012-12-01,311,Bensonhurst (CD11),2,brooklyn,SO2 (ppb),0.75
2012-12-01,312,Borough Park (CD12),2,brooklyn,SO2 (ppb),0.89
2012-12-01,313,Coney Island (CD13),2,brooklyn,SO2 (ppb),0.63
2012-12-01,314,Flatbush and Midwood (CD14),2,brooklyn,SO2 (ppb),0.97
2012-12-01,315,Sheepshead Bay (CD15),2,brooklyn,SO2 (ppb),0.72
2012-12-01,316,Brownsville (CD16),2,brooklyn,SO2 (ppb),1.08
2012-12-01,317,East Flatbush (CD17),2,brooklyn,SO2 (ppb),0.99
2012-12-01,318,Flatlands and Canarsie (CD18),2,brooklyn,SO2 (ppb),0.77
2012-12-01,401,Long Island City and Astoria (CD1),3,queens,SO2 (ppb),1.71
2012-12-01,402,Woodside and Sunnyside (CD2),3,queens,SO2 (ppb),1.47
2012-12-01,403,Jackson Heights (CD3),3,queens,SO2 (ppb),1.82
2012-12-01,404,Elmhurst and Corona (CD4),3,queens,SO2 (ppb),1.83
2012-12-01,405,Ridgewood and Maspeth (CD5),3,queens,SO2 (ppb),1.15
2012-12-01,406,Rego Park and Forest Hills (CD6),3,queens,SO2 (ppb),1.34
2012-12-01,407,Flushing and Whitestone (CD7),3,queens,SO2 (ppb),1.18
2012-12-01,408,Hillcrest and Fresh Meadows (CD8),3,queens,SO2 (ppb),0.93
2012-12-01,409,Kew Gardens and Woodhaven (CD9),3,queens,SO2 (ppb),1.07
2012-12-01,410,South Ozone Park and Howard Beach (CD10),3,queens,SO2 (ppb),0.83
2012-12-01,411,Bayside and Little Neck (CD11),3,queens,SO2 (ppb),0.78
2012-12-01,412,Jamaica and Hollis (CD12),3,queens,SO2 (ppb),0.74
2012-12-01,413,Queens Village (CD13),3,queens,SO2 (ppb),0.6
2012-12-01,414,Rockaway and Broad Channel (CD14),3,queens,SO2 (ppb),0.51
2012-12-01,501,St. George and Stapleton (CD1),5,staten_island,SO2 (ppb),0.5
2012-12-01,502,South Beach and Willowbrook (CD2),5,staten_island,SO2 (ppb),0.44
2012-12-01,503,Tottenville and Great Kills (CD3),5,staten_island,SO2 (ppb),0.39
2008-12-01,101,Financial District (CD1),1,manhattan,NO2 (ppb),41.26
2008-12-01,102,Greenwich Village and Soho (CD2),1,manhattan,NO2 (ppb),39.68
2008-12-01,103,Lower East Side and Chinatown (CD3),1,manhattan,NO2 (ppb),36.88
2008-12-01,104,Clinton and Chelsea (CD4),1,manhattan,NO2 (ppb),40.88
2008-12-01,105,Midtown (CD5),1,manhattan,NO2 (ppb),50.56
2008-12-01,106,Stuyvesant Town and Turtle Bay (CD6),1,manhattan,NO2 (ppb),44.31
2008-12-01,107,Upper West Side (CD7),1,manhattan,NO2 (ppb),36.35
2008-12-01,108,Upper East Side (CD8),1,manhattan,NO2 (ppb),38.83
2008-12-01,109,Morningside Heights and Hamilton Heights (CD9),1,manhattan,NO2 (ppb),35.2
2008-12-01,110,Central Harlem (CD10),1,manhattan,NO2 (ppb),35.37
2008-12-01,111,East Harlem (CD11),1,manhattan,NO2 (ppb),34.22
2008-12-01,112,Washington Heights and Inwood (CD12),1,manhattan,NO2 (ppb),32.4
2008-12-01,201,Mott Haven and Melrose (CD1),4,the_bronx,NO2 (ppb),32.41
2008-12-01,202,Hunts Point and Longwood (CD2),4,the_bronx,NO2 (ppb),30.52
2008-12-01,203,Morrisania and Crotona (CD3),4,the_bronx,NO2 (ppb),32.04
2008-12-01,204,Highbridge and Concourse (CD4),4,the_bronx,NO2 (ppb),33.96
