license_class,trips_per_day,farebox_per_day,unique_drivers,unique_vehicles,vehicles_per_day,avg_days_vehicles_on_road,avg_hours_per_day_per_vehicle,avg_days_drivers_on_road,avg_hours_per_day_per_driver,avg_minutes_per_trip,percent_of_trips_paid_with_credit_card,trips_per_day_shared,date,month_year1,trips_per_month,month_date,farebox_per_month,week,trips_per_week,year,farebox_per_week,total_trips_per_day,shared_trips_per_day_percent,farebox_per_trip,farebox_per_vehicle,trips_per_month_on_road,farebox_per_month_on_road,daily_farebox_per_trip,daily_farebox_per_vehicle,drivers_vehicles_ratio,monthly_farebox_per_vehicle_on_road,monthly_farebox_per_trip_on_road,monthly_trips_per_vehicle_on_road
FHV - Black Car,11825,0,4460,4458,2013,13.6,4.5,13.6,4.5,24.0,0.0,0,2020-11,2020-11,354750,2020-11-28,0,47,82775,2020,0,11825,0.0,0.0,0.0,160820.0,0.0,0.0,0.0,1.000448631673396,0.0,0.0,36.07447285778376
FHV - Black Car,11293,0,4217,4187,1915,14.2,4.5,14.1,4.5,22.0,0.0,0,2020-12,2020-12,350083,2020-12-28,0,52,79051,2020,0,11293,0.0,0.0,0.0,160360.6,0.0,0.0,0.0,1.0071650346310008,0.0,0.0,38.29964174826845
FHV - Black Car,10386,0,3816,3806,1752,14.3,4.4,14.3,4.4,22.0,0.0,0,2021-01,2021-01,321966,2021-01-28,0,04,72702,2021,0,10386,0.0,0.0,0.0,148519.80000000002,0.0,0.0,0.0,1.002627430373095,0.0,0.0,39.02254335260116
FHV - Black Car,10716,0,3563,3561,1725,13.6,4.6,13.6,4.6,23.0,0.0,0,2021-02,2021-02,300048,2021-02-28,0,08,75012,2021,0,10716,0.0,0.0,0.0,145737.6,0.0,0.0,0.0,1.0005616399887671,0.0,0.0,40.926032013479364
FHV - Black Car,13000,0,4003,3995,2049,15.9,4.6,16.0,4.6,23.0,0.0,0,2021-03,2021-03,403000,2021-03-28,0,12,91000,2021,0,13000,0.0,0.0,0.0,206700.0,0.0,0.0,0.0,1.002002503128911,0.0,0.0,51.73967459324155
FHV - Black Car,12658,0,4229,4224,2098,14.9,4.5,15.0,4.5,24.0,0.0,0,2021-04,2021-04,379740,2021-04-28,0,17,88606,2021,0,12658,0.0,0.0,0.0,188604.2,0.0,0.0,0.0,1.0011837121212122,0.0,0.0,44.650615530303035
FHV - Black Car,13022,0,4294,4278,2070,15.0,4.6,15.0,4.6,24.0,0.0,0,2021-05,2021-05,403682,2021-05-28,0,21,91154,2021,0,13022,0.0,0.0,0.0,195330.0,0.0,0.0,0.0,1.0037400654511455,0.0,0.0,45.65918653576438
FHV - Black Car,14136,0,4658,4643,2281,14.7,4.5,14.8,4.5,25.0,0.0,0,2021-06,2021-06,424080,2021-06-28,0,26,98952,2021,0,14136,0.0,0.0,0.0,207799.19999999998,0.0,0.0,0.0,1.0032306698255438,0.0,0.0,44.75537368080982
FHV - Black Car,10249,0,4207,4182,1800,13.3,4.3,13.4,4.2,26.0,0.0,0,2021-07,2021-07,317719,2021-07-28,0,30,71743,2021,0,10249,0.0,0.0,0.0,136311.7,0.0,0.0,0.0,1.00597800095648,0.0,0.0,32.59485891917743
FHV - Black Car,9744,0,3749,3704,1614,13.5,4.4,13.5,4.4,26.0,0.0,0,2021-08,2021-08,302064,2021-08-28,0,34,68208,2021,0,9744,0.0,0.0,0.0,131544.0,0.0,0.0,0.0,1.0121490280777539,0.0,0.0,35.51403887688985
