month_date,license_class,unique_vehicles,vehicles_per_day
2019-02-28,FHV - High Volume,85403,58980
2019-02-28,FHV - Livery,8440,5992
2019-02-28,FHV - Lux Limo,2142,1034
2019-02-28,Green,3385,2651
2019-02-28,Yellow,11895,10770
2019-03-28,FHV - Black Car,4498,1916
2019-03-28,FHV - High Volume,86540,59893
2019-03-28,FHV - Livery,7918,4737
2019-03-28,FHV - Lux Limo,1799,698
2019-03-28,Green,3296,2524
2019-03-28,Yellow,11912,10814
2019-04-28,FHV - Black Car,5795,3126
2019-04-28,FHV - High Volume,86463,59121
2019-04-28,FHV - Livery,8175,5844
2019-04-28,FHV - Lux Limo,2391,1118
2019-04-28,Green,3249,2423
2019-04-28,Yellow,11786,10674
2019-05-28,FHV - Black Car,6171,3237
2019-05-28,FHV - High Volume,86391,59902
2019-05-28,FHV - Livery,8228,5868
2019-05-28,FHV - Lux Limo,2256,1100
2019-05-28,Green,3170,2351
2019-05-28,Yellow,11689,10494
2019-06-28,FHV - Black Car,5858,2988
2019-06-28,FHV - High Volume,85712,58847
2019-06-28,FHV - Livery,8224,5856
2019-06-28,FHV - Lux Limo,2140,993
2019-06-28,Green,3080,2216
2019-06-28,Yellow,11533,10274
2019-07-28,FHV - Black Car,5968,2914
2019-07-28,FHV - High Volume,84609,57048
2019-07-28,FHV - Livery,8150,5682
2019-07-28,FHV - Lux Limo,2013,881
2019-07-28,Green,2985,2125
2019-07-28,Yellow,11366,9894
2019-08-28,FHV - Black Car,5845,2964
2019-08-28,FHV - High Volume,82693,55289
2019-08-28,FHV - Livery,7824,5441
2019-08-28,FHV - Lux Limo,2311,969
2019-08-28,Green,2841,2011
2019-08-28,Yellow,11237,9741
2019-09-28,FHV - Black Car,5417,2846
2019-09-28,FHV - High Volume,82206,56795
2019-09-28,FHV - Livery,3979,2633
2019-09-28,FHV - Lux Limo,2402,1098
2019-09-28,Green,2856,2048
2019-09-28,Yellow,11302,10066
2019-10-28,FHV - Black Car,7071,3757
2019-10-28,FHV - High Volume,82051,57764
